species	sp	speciesID	origin	duration	func_group	family
"Eragrostis brownii"	Era_bro	1	Native	Perennial	Grass	Poaceae
"Eragrostis leptostachya"	Era_lep	1	Native	Perennial	Grass	Poaceae
"Eremophila debilis"	Ere_deb	1	Native	Perennial	Herb	Scrophulariaceae
"Eriochloa crebra"	Eri_cre	1	Native	Perennial	Grass	Poaceae
"Erythrina vespertilio"	Ery_ves	1	Native	Perennial	Tree	Fabaceae
"Eucalyptus crebra"	Euc_cre	1	Native	Perennial	Tree	Myrtaceae
"Eucalyptus melanophloia"	Euc_melp	1	Native	Perennial	Tree	Myrtaceae
"Eucalyptus mellidora"	Euc_mell	1	Native	Perennial	Tree	Myrtaceae
"Eucalyptus tereticornis"	Euc_ter	1	Native	Perennial	Tree	Myrtaceae
"Euchiton sphaericus"	Euc_sph	1	Native	Perennial	Herb	Asteraceae
"Eustrephus latifolius"	Eus_lat	1	Native	Perennial	Vine	Asparagaceae
"Exocarpos cupressiformis"	Exo_cup	1	Native	Perennial	Tree	Santalaceae
"Ficus coronata"	Fic_cor	1	Native	Perennial	Tree	Moraceae
"Fimbristylis dichotoma"	Fim_dic	1	Native	Perennial	Sedge/Rush	Cyperaceae
"Fimbristylis spp_unknown_1"	Spi_gum	0	NA	NA	Sedge/Rush	Cyperaceae
"Flemingia parviflora"	Fle_pau	1	Native	Perennial	Legume	Fabaceae
"Gahnia aspera"	Gah_asp	1	Native	Perennial	Sedge/Rush	Cyperaceae
"Galactia tenuiflora"	Gal_ten	1	Native	Perennial	Legume	Fabaceae
"Galinsoga parviflora"	Gal_par	1	Exotic	Annual	Herb	Asteraceae
"Geranium solanderi"	Ger_sol	1	Native	Perennial	Herb	Geraniaceae
"Glycine tabacina"	Gly_tab	1	Native	Perennial	Legume	Fabaceae
"Glycine tomentella"	Gly_tom	1	Native	Perennial	Legume	Fabaceae
"Glycine wightii"	Gly_wig	1	Exotic	Perennial	Legume	Fabaceae
"Gomphocarpus fruticosus"	Gom_fru	1	Exotic	Perennial	Herb	Apocynaceae
"Grevillea striata"	Gre_str	1	Native	Perennial	Tree	Proteaceae
"Grewia latifolia"	Gre_ret	1	Native	Perennial	Shrub	Malvaceae
"Hardenbergia violacea"	Har_vio	1	Native	Perennial	Legume	Fabaceae
"Heteropogon contortus"	Het_con	1	Native	Perennial	Grass	Poaceae
"Hybanthus stellarioides"	Hyb_ste	1	Exotic	Annual	Herb	Violaceae
"Hydrocotyle laxiflora"	Hyd_lax	1	Native	Perennial	Herb	Araliaceae
"Hyparrhenia filipendula"	Hyp_fil	1	Native	Perennial	Grass	Poaceae
"Hypericum gramineum"	Hyp_gra	1	Native	Perennial	Herb	Hypericaceae
"Imperata cylindrica"	Imp_cyl	1	Native	Perennial	Grass	Poaceae
"Indigofera hirsuta"	Ind_hir	1	Native	Perennial	Legume	Fabaceae
"Indigofera linifolia"	Ind_lini	1	Native	Perennial	Legume	Fabaceae
"Indigofera linnaei"	Ind_linn	1	Native	Perennial	Legume	Fabaceae
"Jacaranda mimosifolia"	Jac_mim	1	Exotic	Perennial	Tree	Bignoniaceae
"Jasminum dianthifolia"	Jas_dia	1	Native	Perennial	Herb	Oleaceae
"Lantana camara"	Lan_cam	1	Exotic	Perennial	Shrub	Verbenaceae
"Lespedeza juncea"	Les_jun	1	Native	Perennial	Legume	Fabaceae
"Ligustrum vulgare "	Lig_vul	1	Exotic	Perennial	Tree	Oleaceae
"Litter"	Litter	0	Litter	NA	NA	NA
"Lobelia concolor"	Lob_con	1	Native	Perennial	Herb	Campanulaceae
"Lomandra confertifolia"	Lom_con	1	Native	Perennial	Sedge/Rush	Asparagaceae
"Lomandra longifolia"	Lom_lon	1	Native	Perennial	Sedge/Rush	Asparagaceae
"Lomandra multiflora"	Lom_mul	1	Native	Perennial	Sedge/Rush	Asparagaceae
"Maclura cochinchinensis"	Mac_coc	1	Native	Perennial	Vine	Moraceae
"Macroptilium atropurpureum"	Mac_atr	1	Exotic	Perennial	Legume	Fabaceae
"Malvastrum americanum"	Mal_ame	1	Exotic	Perennial	Herb	Malvaceae
"Marrubium vulgare"	Mar_vul	1	Exotic	Perennial	Herb	Lamiaceae
"Megathyrsus maximus"	Meg_max	1	Exotic	Perennial	Grass	Poaceae
"Melinis repens"	Mel_rep	1	Exotic	Perennial	Grass	Poaceae
"Mentha satureioides"	Men_sat	1	Native	Perennial	Herb	Lamiaceae
"Microlaena stipoides"	Mic_sti	1	Native	Perennial	Grass	Poaceae
"Neptunia gracilis"	Nep_gra	1	Native	Perennial	Legume	Fabaceae
"Opuntia tomentosa"	Opu_tom	1	Exotic	Perennial	Shrub	Cactaceae
"Oxalis corniculata"	Oxa_cor	1	Exotic	Perennial	Herb	Oxalidaceae
"Panicum decompositum"	Pan_dec	1	Native	Perennial	Grass	Poaceae
"Panicum effusum"	Pan_eff	1	Native	Perennial	Grass	Poaceae
"Paspalidium distans"	Pas_dis	1	Native	Perennial	Grass	Poaceae
"Paspalum dilatatum"	Pas_dia	1	Exotic	Perennial	Grass	Poaceae
"Passiflora suberosa"	Pas_sub	1	Exotic	Perennial	Vine	Passifloraceae
"Phyllanthus virgatus"	Phy_vir	1	Native	Perennial	Herb	Phyllanthaceae
"Polymeria calycina"	Pol_cal	1	Native	Perennial	Herb	Convolvulaceae
"Psydrax odorata"	Psy_odo	1	Native	Perennial	Tree	Rubiaceae
"Pultenaea euchila"	Pul_euc	1	Native	Perennial	Shrub	Fabaceae
"Rhynchosia minima"	Rhy_min	1	Native	Annual	Legume	Fabaceae
"Rock"	Rock	0	Rock	NA	NA	NA
"Rostellularia adscendens"	Ros_ads	1	Native	Perennial	Herb	Acanthaceae
"Rubus parvifolius"	Rub_par	1	Native	Perennial	Shrub	Rosaceae
"Rumex brownii"	Rum_bro	1	Native	Perennial	Herb	Polygonaceae
"Scleria mackaviensis"	Scl_mac	1	Native	Perennial	Sedge/Rush	Cyperaceae
"Sehima nervosum"	Seh_ner	1	Native	Perennial	Grass	Poaceae
"Senecio madagascariensis"	Sen_mad	1	Exotic	Annual	Herb	Asteraceae
"Senna occidentalis"	Sen_occ	1	Exotic	Perennial	Shrub	Fabaceae
"Senna sophera var. sophera"	Sen_sop	1	Native	Perennial	Legume	Fabaceae
"Sida acuta"	Sid_acu	1	Exotic	Perennial	Herb	Malvaceae
"Sida cordifolia"	Sid_cord	1	Exotic	Perennial	Herb	Malvaceae
"Sida corrugata"	Sid_corr	1	Native	Perennial	Herb	Malvaceae
"Sida hackettiana"	Sid_hac	1	Native	Perennial	Herb	Malvaceae
"Sida rhombifolia"	Sid_rho	1	Exotic	Perennial	Herb	Malvaceae
"Sigesbeckia orientalis"	Sig_ori	1	Native	Annual	Herb	Asteraceae
"Smilax australis"	Smi_aus	1	Native	Perennial	Vine	Smilacaceae
"Solanum nigrum"	Sol_nig	1	Exotic	Perennial	Herb	Solanaceae
"Sonchus oleraceus"	Son_ole	1	Exotic	Annual	Herb	Asteraceae
"Sorghum leiocladum"	Sor_lei	1	Native	Perennial	Grass	Poaceae
"Sporobolus creber"	Spo_cre	1	Native	Perennial	Grass	Poaceae
"Sporobolus elongatus "	Spo_elo	1	Native	Perennial	Grass	Poaceae
"Stephania japonica"	Ste_jap	1	Native	Perennial	Herb	Menispermaceae
"Tagetes minuta"	Tag_min	1	Exotic	Annual	Herb	Asteraceae
"Themeda triandra"	The_tri	1	Native	Perennial	Grass	Poaceae
"Unknown_weed"	Clu_lik	0	NA	NA	Herb	NA
"Urochloa panicoides var panicoides"	Uro_pan	1	Exotic	Perennial	Grass	Poaceae
"Verbena litoralis"	Ver_lit	1	Exotic	Annual	Herb	Verbenaceae
"Viola hederacea"	Vio_hed	1	Native	Perennial	Herb	Violaceae
"Vittadinia pustulata"	Vit_pus	1	Native	Perennial	Herb	Asteraceae
"Vittadinia sulcata"	Vit_sul	1	Native	Perennial	Herb	Asteraceae
"Wahlenbergia gracilis"	Wah_gra	1	Native	Perennial	Herb	Campanulaceae
"Xanthorrhoea glauca"	Xan_gla	1	Native	Perennial	Tree	Asphodelaceae
"Zinnia peruviana"	Zin_per	1	Exotic	Annual	Herb	Asteraceae
"Zornia dyctiocarpa"	Zor_dyc	1	Native	Perennial	Legume	Fabaceae
