code	species	origin	life_span	form	family	speciesID	location	legume
Poe_143	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_144	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_145	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_146	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_147	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_148	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_149	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_150	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_151	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_152	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_153	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_154	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_155	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_156	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_157	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_158	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_159	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_160	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_161	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_162	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_163	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_164	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_165	"NA"	NA	NA	Grass	Poaceae	0	0	0
Poe_166	"NA"	NA	NA	Grass	Poaceae	0	0	0
For_002	"NA"	NA	NA	NA	Apiaceae	0	0	0
For_007	"NA"	NA	NA	NA	NA	0	0	0
For_008	"NA"	NA	NA	NA	NA	0	0	0
For_009	"NA"	NA	NA	NA	NA	0	0	0
For_017	"NA"	NA	NA	NA	NA	0	0	0
For_021	"NA"	NA	NA	NA	NA	0	0	0
For_022	"NA"	NA	NA	NA	NA	0	0	0
For_023	"NA"	NA	NA	NA	NA	0	0	0
For_024	"NA"	NA	NA	NA	NA	0	0	0
For_025	"NA"	NA	NA	NA	NA	0	0	0
For_027	"NA"	NA	NA	NA	NA	0	0	0
For_029	"NA"	NA	NA	NA	NA	0	0	0
For_030	"NA"	NA	NA	NA	NA	0	0	0
For_031	"NA"	NA	NA	NA	NA	0	0	0
For_035	"NA"	NA	NA	NA	NA	0	0	0
For_037	"NA"	NA	NA	NA	NA	0	0	0
For_038	"NA"	NA	NA	NA	NA	0	0	0
For_039	"NA"	NA	NA	NA	NA	0	0	0
For_040	"NA"	NA	NA	NA	NA	0	0	0
For_046	"NA"	NA	NA	NA	Malvaceae	0	0	0
For_049	"NA"	NA	NA	NA	NA	0	0	0
For_050	"NA"	NA	NA	NA	NA	0	0	0
Pte_sph	"Pterocaulon sphacelatum"	Native	Perennial	Herb	Asteraceae	1	0	0
For_080	"NA"	NA	NA	NA	NA	0	0	0
For_082	"NA"	NA	NA	NA	NA	0	0	0
For_083	"NA"	NA	NA	NA	NA	0	0	0
For_084	"NA"	NA	NA	NA	NA	0	0	0
For_089	"NA"	NA	NA	NA	NA	0	0	0
For_093	"NA"	NA	NA	NA	NA	0	0	0
For_094	"NA"	NA	NA	NA	NA	0	0	0
For_098	"NA"	NA	NA	NA	NA	0	0	0
For_100	"NA"	NA	NA	NA	NA	0	0	0
For_101	"NA"	NA	NA	NA	NA	0	0	0
For_102	"NA"	NA	NA	NA	NA	0	0	0
For_103	"NA"	NA	NA	NA	NA	0	0	0
For_105	"NA"	NA	NA	NA	NA	0	0	0
For_106	"NA"	NA	NA	NA	NA	0	0	0
For_107	"NA"	NA	NA	NA	NA	0	0	0
For_108	"NA"	NA	NA	NA	NA	0	0	0
For_109	"NA"	NA	NA	NA	NA	0	0	0
For_110	"NA"	NA	NA	NA	NA	0	0	0
For_111	"NA"	NA	NA	NA	NA	0	0	0
For_112	"NA"	NA	NA	NA	NA	0	0	0
Spi_gum	"Fimbristylis spp_unknown_1"	NA	NA	Sedge/Rush	Cyperaceae	0	2	0
Cyp_002	"NA"	NA	NA	Sedge/Rush	Cyperaceae	0	0	0
Cyp_003	"NA"	NA	NA	Sedge/Rush	Cyperaceae	0	0	0
Cyp_004	"NA"	NA	NA	Sedge/Rush	Cyperaceae	0	0	0
Cyp_005	"NA"	NA	NA	Sedge/Rush	Cyperaceae	0	0	0
Cyp_006	"NA"	NA	NA	Sedge/Rush	Cyperaceae	0	0	0
Cyp_007	"NA"	NA	NA	Sedge/Rush	Cyperaceae	0	0	0
Cyp_010	"NA"	NA	NA	Sedge/Rush	Cyperaceae	0	0	0
Aca_mai	"Acacia maidenii"	Native	Perennial	Tree	Fabaceae	1	1	1
Aca_sal	"Acacia salicina"	Native	Perennial	Tree	Fabaceae	1	1	1
Ang_sub	"Angophora subvelutina"	Native	Perennial	Tree	Myrtaceae	1	1	0
